epoch,step,train_acc,train_loss_epoch,train_loss_step
0,0,,,7.931579113006592
0,0,0.3240000009536743,7.931579113006592,
1,1,,,4.9006500244140625
1,1,0.3330000042915344,4.9006500244140625,
2,2,,,4.815889835357666
2,2,0.34599998593330383,4.815889835357666,
3,3,,,4.895689010620117
3,3,0.32899999618530273,4.895689010620117,
4,4,,,6.539151668548584
4,4,0.3230000138282776,6.539151668548584,
